India Temperature,India Precipitation,India Relative Humidity,India Wind Speed,India Wind Direction,India Mean Sea Level Pressure,Japan Temperature,Japan Precipitation Total,Japan Relative Humidity,Japan Wind Speed,Japan Wind Direction,Japan Mean Sea Level Pressure,Year,Month,Day,Tree Level India,Grass Level India,Weed Level India,Tree Level Japan,Grass Level Japan,Weed Level Japan
26.497972,0,66,15.072783,220.156,1010.5,18.331179,0,24,26.260265,331.32687,1018.6,2010,2,12,H,L,L,L,L,L
26.097973,0,65,9.931042,223.5312,1011.1,16.69118,0,27,20.380579,342.5252,1019.4,2010,2,13,H,L,L,M,L,L
25.987972,0,67,6.8777895,227.1211,1011.5,15.131178,0,36,16.09969,26.565033,1020.2,2010,2,14,M,L,L,L,L,L
25.907972,0,68,4.39436,214.99202,1012.1,12.951178,0,61,14.799459,48.945175,1021.7,2010,2,15,L,L,L,,,
26.427973,0,64,2.1897945,260.5377,1013,11.751178,0,72,18.998316,62.9494,1022,2010,2,16,M,L,L,,,
26.077972,0,65,2.16,360,1012.7,11.2811775,0,70,17.148247,50.964478,1022.4,2010,2,17,,,,H,L,L
25.747972,0,66,4.198285,30.963745,1012.6,10.751178,0,67,12.229406,42.614044,1022.6,2010,2,18,,,,L,L,L
25.227972,0,66,6.830519,18.434952,1012.5,10.191177,0,68,9.449572,17.74466,1022.8,2010,2,19,M,L,L,L,L,L
25.057972,0,65,7.342588,11.309921,1012.3,9.671178,0,70,9.72,360,1023,2010,2,20,M,L,L,M,L,L
24.667973,0,65,6.924738,8.972626,1012.2,9.101177,0,70,10.446206,1.9749298,1023.1,2010,2,21,M,L,L,M,L,L
24.047972,0,67,5.8048253,7.125,1012.1,8.521177,0,70,11.304229,9.1623535,1023.1,2010,2,22,M,L,L,,,
23.497972,0,69,5.04,360,1012.7,8.081178,0,71,11.841756,19.536652,1023.4,2010,2,23,M,L,L,,,
23.717972,0,68,4.802999,347.00537,1013.2,8.501178,0,70,13.37825,23.805923,1023.8,2010,2,24,,,,M,L,L
25.727972,0,59,7.9036193,30.068573,1013.4,9.441177,0,67,12.768586,21.501434,1023.9,2010,2,25,,,,M,L,L
27.787971,0,52,9.178235,41.82016,1013.3,10.831178,0,63,10.587917,17.818878,1023.7,2010,2,26,L,L,L,L,L,L
29.777971,0,45,7.491114,54.782394,1013,12.131178,0,57,9.9571085,12.528793,1023.7,2010,2,27,H,L,L,M,L,L
31.447971,0,42,6.489992,86.82017,1012.8,13.741178,0,50,8.854829,26.565033,1023.5,2010,2,28,M,L,L,M,L,L
32.647972,0,38,7.9932966,125.83765,1011.8,15.211178,0,44,7.8954163,43.15239,1022.8,2010,2,29,H,L,L,,,
33.167973,0,38,12.24,151.9275,1010.9,16.60118,0,40,10.948973,62.59243,1022.4,2010,3,1,H,L,L,,,
32.46797,0,42,18.057508,175.42609,1010.7,17.641178,0,38,12.864649,72.072075,1021.7,2010,3,2,,,,M,L,L
30.947971,0,48,22.963936,193.60054,1010.5,18.061178,0,37,12.144331,78.023865,1020.8,2010,3,3,,,,M,L,L
30.707972,0,45,22.881958,204.14554,1009.8,18.121178,0,38,11.542478,93.576324,1020.8,2010,3,4,E,M,L,M,L,L
29.997972,0,45,22.7057,205.34618,1009.2,17.70118,0,40,13.089354,121.50426,1021.3,2010,3,5,E,M,L,M,L,L
28.287971,0,51,18.892282,210.96376,1010,16.921179,0,42,13.979872,124.508514,1021.8,2010,3,6,H,L,L,L,L,L
26.517971,0,56,15.408671,217.40535,1010.5,15.931178,0,45,13.281023,122.828545,1022.7,2010,3,7,E,L,L,,,
25.817972,0,57,9.504272,217.30396,1010.9,15.0711775,0,49,12.57426,113.62937,1022.9,2010,3,8,E,M,L,,,
25.607971,0,59,7.127636,225,1011.6,14.221178,0,56,11.165805,110.772255,1023.1,2010,3,9,,,,H,M,L
25.677973,0,60,4.39436,235.00798,1012.4,13.381178,0,61,8.311245,107.650116,1023.2,2010,3,10,,,,M,M,L
25.907972,0,60,3.8268526,228.81409,1013,12.921178,0,60,7.69592,100.784294,1023.4,2010,3,11,H,L,L,M,L,L
25.537971,0,61,3.0758414,200.55605,1012.6,12.611177,0,59,7.342588,78.69006,1023.2,2010,3,12,H,L,L,M,L,L
25.187971,0,60,3.396233,212.00539,1012.5,12.101177,0,57,6.9153743,51.34018,1022.8,2010,3,13,H,M,L,L,L,L
24.997972,0,59,2.1897945,189.46233,1012.2,11.451178,0,58,6.4096174,38.157227,1022,2010,3,14,H,L,L,,,
24.637972,0,61,2.6208394,164.0546,1012.4,10.911178,0,61,4.802999,12.994629,1021.9,2010,3,15,H,L,L,,,
24.347973,0,60,2.8799999,180,1012.3,10.551178,0,63,4.829907,333.43497,1022.4,2010,3,16,,,,L,L,L
23.337973,0,62,1.8,180,1012.3,10.111177,0,66,4.0249224,333.43497,1022.2,2010,3,17,,,,M,L,L
23.037971,0,63,1.08,180,1013,9.791178,0,67,4.6800003,292.61987,1022.9,2010,3,18,H,M,L,H,L,L
23.197971,0,66,0.5091169,44.999985,1013.6,10.161178,0,69,3.8939953,303.69006,1023.3,2010,3,19,H,M,L,L,L,L
25.237972,0,61,3.4152596,198.43495,1013.8,11.601177,0,64,2.2768397,341.56506,1023.2,2010,3,20,H,M,L,H,L,L
26.857971,0,58,4.3349743,175.23636,1013.3,13.171178,0,57,2.52,89.99999,1023.1,2010,3,21,H,L,L,,,
28.757973,0,51,5.4477882,172.40535,1013,14.581178,0,53,3.563818,135,1022.9,2010,3,22,H,L,L,,,
30.447971,0,47,9.3876505,175.60129,1012.7,16.261179,0,46,4.452954,104.03624,1022.4,2010,3,23,,,,L,L,L
31.167973,0,45,13.849476,188.97263,1011.8,17.61118,0,43,5.0142193,111.03751,1021.6,2010,3,24,,,,M,L,L
31.667973,0,44,16.862455,196.11342,1011.4,18.801178,0,40,6.1305785,139.76364,1020.6,2010,3,25,H,M,L,H,L,L
31.257973,0,48,21.659916,201.44774,1010.9,19.651178,0,38,9.449572,139.63547,1019.8,2010,3,26,M,L,L,L,L,L
30.397972,0,52,23.188583,207.75854,1010.6,19.93118,0,37,12.979984,146.30994,1019.3,2010,3,27,M,L,L,M,L,L
29.687971,0,56,22.366402,213.17851,1010.1,19.791178,0,37,15.509274,158.1986,1018.9,2010,3,28,L,L,L,,,
28.967972,0,58,19.386593,211.32869,1009.4,19.541178,0,39,15.725037,164.0546,1018.3,2010,3,29,M,L,L,,,
27.787971,0,63,17.477621,212.38068,1009.9,19.001179,0,43,16.039202,170.96051,1018.1,2010,3,30,,,,H,L,L
26.007973,0,70,14.904173,217.1467,1010.4,17.651178,0,49,16.563911,178.75464,1018.5,2010,3,31,,,,M,L,L
25.157972,0,71,13.397612,210.69972,1011,16.301178,0,58,16.923828,181.21887,1018.8,2010,4,1,M,L,L,H,L,L
24.817972,0,71,10.514218,218.04704,1011.5,15.641177,0,66,16.954432,176.34778,1018.8,2010,4,2,M,M,L,M,L,L
24.667973,0,71,6.489992,236.30994,1011.5,15.051178,0,71,16.167967,168.43987,1018.7,2010,4,3,M,M,L,H,L,L
24.727972,0,70,4.198285,239.03624,1012,14.681178,0,72,14.471821,174.28941,1018.1,2010,4,4,M,M,L,,,
24.807972,0,68,2.16,270,1011.8,14.351177,0,74,12.682018,173.4802,1017.7,2010,4,5,M,M,L,,,
24.467972,0,69,0.71999997,360,1011.7,13.961178,0,75,12.783802,170.27242,1016.5,2010,4,6,,,,H,L,L
23.877972,0,72,2.16,360,1011.6,13.641177,0,77,11.570515,174.64418,1015.8,2010,4,7,,,,H,L,L
23.887972,0,71,4.0249224,10.30484,1011.4,13.251178,0,80,10.805999,178.09085,1015.6,2010,4,8,L,L,L,M,L,L
23.497972,0,73,5.8048253,7.125,1011.4,12.691177,0,84,9.007196,182.2906,1014.3,2010,4,9,L,L,L,H,L,L
24.087973,0,71,6.489992,3.1798248,1011.3,12.191177,0,86,8.049845,190.30484,1014.1,2010,4,10,M,M,L,H,M,L
24.247972,0,70,6.8399997,360,1012.2,11.841178,0,88,6.638072,192.52881,1014.1,2010,4,11,L,L,L,,,
23.747972,0,74,7.5685663,2.7262878,1012.8,12.701178,0,86,6.87779,186.009,1014,2010,4,12,H,M,L,,,
26.327972,0,59,8.0899935,32.275635,1013.2,14.191177,0,79,7.628263,199.29004,1013.9,2010,4,13,,,,H,L,L
28.187971,0,49,9.449572,49.635452,1013.1,15.431178,0,72,6.763786,205.20113,1013.6,2010,4,14,,,,H,H,L
30.077972,0,44,6.924738,81.02737,1013,16.551178,0,66,7.9932976,187.76517,1013.4,2010,4,15,M,M,L,H,H,L
31.857971,0,40,6.9527545,111.2505,1012.6,18.03118,0,58,7.6367526,188.1301,1012.9,2010,4,16,M,M,L,H,H,L
33.21797,0,37,7.928177,140.52754,1011.2,19.331179,0,52,8.209263,195.25513,1011.7,2010,4,17,M,M,L,H,H,M
33.957973,0,36,10.948973,170.53767,1010.3,20.60118,0,48,7.208994,182.86241,1010.8,2010,4,18,M,M,L,,,
31.117971,0,44,19.914217,192.52881,1010.3,21.401178,0,45,4.5536795,198.43495,1010.2,2010,4,19,H,H,L,,,
31.437971,0,44,21.194187,200.89777,1009.7,20.911179,0.2,45,3.9763298,275.19443,1010.1,2010,4,20,,,,H,M,L
31.247972,0,44,20.46941,203.86018,1009.1,20.77118,0.7,46,8.669949,311.63354,1009.4,2010,4,21,,,,H,M,L
29.737972,0,49,20.94507,208.76765,1008.9,19.671179,0.9,49,14.88242,327.84772,1009.9,2010,4,22,L,M,L,H,L,L
28.277971,0,55,19.171478,214.28688,1009.7,18.27118,0.9,60,22.89611,16.440369,1010.8,2010,4,23,L,L,L,H,L,L
26.527971,0,63,17.283749,215.6764,1010.4,15.131178,0.7,70,20.371038,43.5679,1012.1,2010,4,24,L,M,L,M,L,L
25.617971,0,67,12.819235,218.15723,1011,14.081178,0.2,73,14.440443,4.289139,1013.2,2010,4,25,L,M,L,,,
25.347973,0,69,9.1641035,225,1011.2,13.181178,0.5,71,18.448023,342.9795,1014.2,2010,4,26,L,M,L,,,
25.347973,0,69,6.763786,205.20113,1011.9,12.251178,0,60,18.161278,346.2392,1015,2010,4,27,,,,M,L,L
25.147972,0,71,5.4119864,183.81407,1012.5,11.711178,0,54,18.359999,360,1015.3,2010,4,28,,,,M,L,L
24.667973,0,74,3.671294,191.30994,1012.2,11.101177,0,51,21.077686,352.1467,1015.5,2010,4,29,,,,M,L,L
24.277971,0,76,3.7585104,196.69925,1012,9.851177,0,50,20.49156,341.56506,1016,2010,4,30,M,M,L,M,L,L
23.967972,0,79,2.8116899,219.80557,1011.5,9.091178,0,49,20.730501,339.67688,1016.7,2010,5,1,L,M,L,M,L,L
24.607971,0,77,1.08,270,1011.1,8.201178,0,47,20.65848,337.45694,1017.3,2010,5,2,L,M,L,,,
24.757973,0,76,3.8268526,48.81407,1011,7.1311774,0,48,17.917007,337.55725,1017.8,2010,5,3,L,M,L,,,
24.457972,0,77,4.1046314,37.87497,1011.4,6.421178,0,51,15.94601,331.69925,1018,2010,5,4,,,,M,M,L
24.337973,0,77,5.4833565,23.198593,1012.4,5.9011774,0,53,15.941944,334.5923,1018.6,2010,5,5,,,,M,L,L
24.447971,0,76,6.9527545,21.250488,1013.2,6.3111777,0,53,17.917007,337.55725,1019.2,2010,5,6,L,M,L,M,L,L
25.827972,0,68,3.6179552,95.71059,1013.5,7.7211776,0,51,19.011953,341.222,1019.1,2010,5,7,L,L,L,M,L,L
27.647972,0,59,5.1919937,123.69006,1013.4,9.2811775,0,45,20.316889,352.875,1019.1,2010,5,8,L,L,L,L,L,L
28.457972,0,55,6.297428,149.03624,1013.3,10.361177,0,38,21.746504,353.34558,1019.1,2010,5,9,L,M,L,,,
31.037971,0,48,6.28713,166.75948,1012.7,11.841178,0,33,17.643673,1.1691284,1018.2,2010,5,10,L,L,L,,,
32.237972,0,43,9.726665,177.8789,1011.8,13.231177,0,32,16.56,360,1018,2010,5,11,,,,M,M,L
32.527973,0,43,16.62249,184.96974,1011.1,14.591178,0,29,18.532133,352.1847,1017.5,2010,5,12,,,,M,L,L
31.387972,0,48,20.380579,197.47478,1010.8,15.701178,0,27,19.469975,340.55997,1016.8,2010,5,13,L,M,L,M,L,L
30.427973,0,54,21.578989,207.84758,1010.5,16.131178,0,25,21.273533,336.03754,1016.6,2010,5,14,L,L,L,L,L,L
29.807972,0,58,22.86496,213.43987,1010,16.211178,0,26,22.702845,345.30267,1016.6,2010,5,15,L,L,L,M,L,L
28.347973,0,63,20.240198,218.50066,1009.6,16.061178,0,26,21.434364,352.2782,1017,2010,5,16,L,L,L,,,
28.287971,0,64,19.134262,221.18593,1010.2,15.501178,0,27,20.188908,356.93353,1018,2010,5,17,L,L,L,,,
26.847973,0,69,17.057314,225.8551,1010.8,14.191177,0,30,18,360,1019.4,2010,5,18,,,,L,L,L
25.427973,0,75,10.315115,240.75117,1011.5,12.561177,0,34,16.56,360,1020.7,2010,5,19,,,,L,L,L
25.457972,0,74,5.0142193,248.9625,1011.8,11.0711775,0,37,15.119999,360,1022,2010,5,20,L,L,L,L,L,L
25.767971,0,72,1.484318,194.03624,1012.2,10.001178,0,38,13.397612,6.1701508,1023,2010,5,21,L,L,L,L,L,L
25.737972,0,72,1.4399999,89.99999,1012.8,9.621178,0,40,15.124284,91.36392,1023.6,2010,5,22,L,L,L,M,H,L
25.137972,0,74,2.9024127,29.744873,1012.3,9.291178,0,43,13.207634,72.5528,1023.5,2010,5,23,L,L,L,,,
24.767971,0,75,4.452954,14.03624,1012.2,9.021177,0,48,10.30883,65.224846,1023.5,2010,5,24,L,L,L,,,
24.627972,0,75,5.8048253,7.125,1012,9.101177,0,53,7.42159,67.166336,1024.1,2010,5,25,,,,,,
24.657972,0,74,7.2,360,1011.9,8.911178,0,53,8.473393,77.73522,1024.3,2010,5,26,,,,M,M,L
24.697971,0,73,7.2359104,5.7105865,1011.9,8.631178,0,51,9.47012,81.25384,1024.3,2010,5,27,L,L,L,L,L,L
24.877972,0,73,9.449572,17.74466,1011.8,8.341178,0,53,9.3876505,85.60129,1024.6,2010,5,28,L,L,L,L,H,L
23.797972,0,79,8.0899935,32.275635,1012.9,8.221178,0,53,8.287822,92.48955,1025.3,2010,5,29,L,L,L,L,L,L
23.077972,0,82,7.4128532,29.05458,1013.6,8.651177,0,52,8.647496,92.38594,1025.6,2010,5,30,L,L,L,,,
25.617971,0,63,5.495161,58.392494,1014,9.5311775,0,50,8.287822,92.48955,1025.7,2010,5,31,L,L,L,,,
27.567972,0,56,5.3999996,89.99999,1013.8,10.651177,0,47,8.905908,104.03624,1025.6,2010,6,1,,,,H,M,L
28.357971,0,55,6.297428,120.963745,1013.5,11.911178,0,47,11.019764,128.36748,1025.7,2010,6,2,,,,M,M,L
30.367971,0,49,6.151683,159.44395,1013.2,13.641177,0,50,11.923557,151.11342,1025,2010,6,3,L,L,L,M,M,L
31.237972,0,46,11.252519,187.35239,1012.4,15.251178,0,54,14.81259,154.05771,1024.1,2010,6,4,,,,L,L,L
31.617971,0,44,16.418526,195.25513,1011.7,16.60118,0,57,18.58451,158.4047,1023.1,2010,6,5,L,L,L,L,L,L
31.017971,0,47,21.659916,201.44774,1011,17.741179,0,57,21.518847,162.47443,1022.1,2010,6,6,L,L,L,,,
30.317972,0,52,21.794127,210.80145,1010.5,18.19118,0,55,24.448214,166.373,1021.6,2010,6,7,L,L,L,,,
30.117971,0,55,19.08,211.8908,1010,18.571178,0,53,24.503809,169.84573,1021.4,2010,6,8,,,,L,L,L
29.687971,0,56,19.576189,212.22876,1009.6,18.721178,0,51,23.759998,180,1020.9,2010,6,9,,,,L,L,L
28.597973,0,60,17.283749,215.6764,1010,18.161179,0,55,24.57511,185.04245,1021.3,2010,6,10,L,L,L,L,L,L
26.957972,0,66,14.291592,220.91438,1010.5,17.211178,0,60,25.922499,189.59314,1021.6,2010,6,11,L,L,L,L,L,L
25.667973,0,73,12.261157,220.23636,1011,16.18118,0,64,26.901417,195.52411,1021.6,2010,6,12,L,L,L,L,L,L
24.937971,0,77,9.220499,218.65982,1011.5,15.5711775,0,67,27.219902,200.1126,1021.8,2010,6,13,L,L,L,,,
24.357971,0,80,5.1919937,213.69006,1012.3,15.181178,0,71,25.40743,200.74608,1022.2,2010,6,14,L,L,L,,,
24.057972,0,82,2.0991426,210.96376,1013.1,14.911178,0,70,18.892282,210.96376,1022.2,2010,6,15,,,,L,L,L
24.107971,0,82,0,180,1012.7,14.391177,0,70,14.77755,214.0772,1022,2010,6,16,,,,L,L,L
23.957972,0,82,1.2979984,33.690063,1012.7,13.751178,0,71,11.592895,205.76933,1021.4,2010,6,17,L,L,L,L,L,L
24.227972,0,81,1.609969,63.43495,1012.7,13.001178,0,75,10.464797,229.18492,1021.7,2010,6,18,L,L,L,L,L,L
23.677973,0,84,2.0364676,44.999985,1012.7,12.141177,0,80,7.5685663,244.65384,1021.8,2010,6,19,L,L,L,L,L,L
23.727972,0,83,3.5455887,23.962494,1012.7,11.521177,0,82,7.5170207,253.30075,1022.1,2010,6,20,L,L,L,,,
24.097973,0,81,4.2136917,19.983109,1012.6,11.181178,0,81,6.2145634,259.992,1022.3,2010,6,21,L,L,L,,,
23.397972,0,84,4.896529,17.102722,1013.2,11.211178,0,76,4.510787,241.38954,1022.3,2010,6,22,,,,L,L,L
23.867971,0,82,4.73506,8.74614,1013.9,11.871178,0,75,2.5455842,225,1022.4,2010,6,23,,,,L,L,L
25.227972,0,73,3.6179552,84.289406,1014.3,13.941177,0,72,1.609969,153.43495,1022,2010,6,24,L,L,L,L,L,L
26.437971,0,64,4.6102495,128.6598,1014.5,15.941178,0,65,5.1544156,167.90524,1021.7,2010,6,25,L,L,L,L,L,L
27.957972,0,57,6.12,151.9275,1014.5,17.891178,0,62,9.779817,186.3402,1021.3,2010,6,26,L,L,L,L,L,L
29.397972,0,51,8.12197,167.19574,1014.4,19.69118,0,59,14.799459,198.43495,1020.6,2010,6,27,L,L,L,,,
30.557972,0,46,11.165805,178.15239,1013.3,20.051178,0,59,19.011953,198.77803,1020,2010,6,28,L,L,L,,,
31.257973,0,44,15.905319,185.19443,1012.5,18.981178,0,65,23.400002,194.25003,1019.7,2010,6,29,,,,L,L,L
31.117971,0,45,20.176065,195.52411,1011.8,18.61118,0,67,25.233406,194.03624,1019.4,2010,6,30,,,,L,L,L
30.287971,0,49,22.057161,206.14685,1011.6,18.991179,0,67,25.862436,196.1645,1018.9,2010,7,1,L,L,L,L,L,L
28.747972,0,56,22.97522,215.43332,1011.3,19.561178,0,64,26.368616,194.22597,1018.2,2010,7,2,L,L,L,L,L,L
28.897972,0,56,20.746122,218.6598,1010.9,19.831179,0,64,28.988384,194.3814,1017.9,2010,7,3,L,L,L,,,
27.807972,0,60,19.296135,216.65611,1011.5,19.071178,0,66,30.124065,194.53445,1017.8,2010,7,4,L,L,L,,,
25.837973,0,68,16.870138,219.80557,1012.3,17.891178,0,69,30.821548,194.19855,1017.9,2010,7,5,L,L,L,,,
24.427973,0,76,14.021525,221.87787,1013.1,16.751179,0,73,29.869154,195.37625,1018.2,2010,7,6,,,,L,L,L
23.637972,0,81,10.948973,226.33223,1013.6,16.171179,0,75,28.691795,197.52557,1018.5,2010,7,7,,,,L,L,L
23.277971,0,82,7.289445,237.09476,1014.1,15.701178,0,78,27.691935,195.84308,1018.5,2010,7,8,L,L,L,L,L,L
22.887972,0,84,4.39436,235.00798,1014.5,15.411178,0,79,27.248457,195.3215,1018.2,2010,7,9,L,L,L,L,L,L
22.777971,0,84,3.0547013,225,1014,15.301178,0,81,26.999998,196.26021,1018.1,2010,7,10,L,L,L,L,L,L
23.927973,0,89,1.0182338,225,1012.9,13.931178,0,59,12.413477,330.46124,1018.1,2010,7,11,L,L,L,,,
23.967972,0,90,0.71999997,89.99999,1012.4,13.041178,0,62,11.435313,331.8214,1018.6,2010,7,12,L,L,L,,,
23.867971,0,90,1.8,53.130096,1012.5,12.301178,0,65,10.495713,337.83365,1019.3,2010,7,13,,,,L,L,L
24.167973,1,88,3.5455887,23.962494,1012.4,11.661178,0,67,9.346143,344.35776,1020,2010,7,14,,,,L,L,L
24.247972,0.1,86,4.2136917,19.983109,1012.2,10.931178,0,69,6.519877,353.65985,1020.9,2010,7,15,L,L,L,L,L,L
24.337973,1.1,85,3.5455887,23.962494,1013,10.161178,0,70,6.4799995,360,1021.8,2010,7,16,L,L,L,L,L,L
24.277971,3,87,4.8433046,48.01277,1013,10.461178,0,68,8.669949,4.7636414,1022.8,2010,7,17,L,L,L,L,L,L
24.167973,3.1,87,5.904439,52.431404,1013.9,11.761178,0,62,11.440979,24.145538,1023.4,2010,7,18,L,L,L,,,
24.077972,2.7,87,5.495161,31.607498,1014.4,13.041178,0,60,10.948973,43.66777,1023.7,2010,7,19,L,L,L,,,
24.347973,0.5,83,2.52,360,1014.7,14.401177,0,59,9,53.130096,1023.9,2010,7,20,,,,L,L,L
25.827972,0.1,73,4.510787,61.38954,1014.5,15.931178,0,53,7.0911775,66.037506,1023.6,2010,7,21,,,,L,L,L
26.737972,0.2,69,4.2136917,109.9831,1013.7,17.331179,0,44,5.0142193,68.96249,1023,2010,7,22,L,L,L,L,L,L
28.787971,0,61,5.3999996,143.1301,1012.6,18.60118,0,38,3.7585104,73.30075,1022.1,2010,7,23,L,L,L,L,L,L
30.137972,0,57,5.495161,148.3925,1011.5,19.621178,0,33,3.396233,57.994614,1021.5,2010,7,24,L,L,L,L,L,L
29.097973,0,59,4.1046314,164.74487,1010.9,20.52118,0,29,3.319036,12.528809,1021.1,2010,7,25,L,L,L,,,
30.407972,0,54,1.835647,168.69006,1010.2,21.27118,0,24,4.452954,345.96375,1020.4,2010,7,26,L,L,L,,,
30.607971,0,52,1.609969,153.43495,1009.6,21.731178,0,20,8.78872,325.008,1020.1,2010,7,27,,,,L,L,L
29.507973,0,60,4.3349743,184.76364,1010.2,20.841179,0,18,14.021525,318.12213,1020.6,2010,7,28,,,,L,L,L
